"","season","round","round_number","venue","home_team","away_team","margin","home_goals","home_behinds","home_points","away_goals","away_behinds","away_points","distance_diff","venue_exp_last_3","venue_exp_last_5","round_type","match_id","round_id","date","start_season_id","home_elo","away_elo","outcome"
"1",2000,"R1",1,"Princes Park","Carlton","Brisbane Lions",40,22,20,152,16,16,112,1362110.68375635,22,24,"Regular","2000.1.Carlton.Brisbane Lions","2000.1",2000-03-13,TRUE,1551.95422423461,1696.99101876872,"win"
"2",2000,"R1",1,"M.C.G.","Hawthorn","Collingwood",-54,13,8,86,20,20,140,0,-31,-52,"Regular","2000.1.Hawthorn.Collingwood","2000.1",2000-03-13,TRUE,1508.70463072924,1432.80559888904,"loss"
"3",2000,"R1",1,"Subiaco","Fremantle","Geelong",-22,16,11,107,19,15,129,2675673.45900473,24,32,"Regular","2000.1.Fremantle.Geelong","2000.1",2000-03-11,TRUE,1391.77501128139,1493.63191216087,"loss"
"4",2000,"R1",1,"M.C.G.","Richmond","Melbourne",2,14,10,94,13,14,92,0,-2,-11,"Regular","2000.1.Richmond.Melbourne","2000.1",2000-03-08,TRUE,1452.94602747169,1374.82587372168,"win"
"5",2000,"R1",1,"Docklands","Essendon","Port Adelaide",94,24,12,156,8,14,62,653816.807797503,0,0,"Regular","2000.1.Essendon.Port Adelaide","2000.1",2000-03-09,TRUE,1633.54266862045,1456.40214602679,"win"
"6",2000,"R1",1,"Docklands","St Kilda","Sydney",-34,15,10,100,21,8,134,714175.896369736,0,0,"Regular","2000.1.St Kilda.Sydney","2000.1",2000-03-12,TRUE,1472.31428482748,1515.16626990929,"loss"
"7",2000,"R1",1,"M.C.G.","North Melbourne","West Coast",-43,16,15,111,24,10,154,2724334.01488462,37,49,"Regular","2000.1.North Melbourne.West Coast","2000.1",2000-03-10,TRUE,1641.00453773682,1466.26439647487,"loss"
"8",2000,"R1",1,"Football Park","Adelaide","Western Bulldogs",-23,15,18,108,19,17,131,653816.807797503,34,44,"Regular","2000.1.Adelaide.Western Bulldogs","2000.1",2000-03-11,TRUE,1441.65454411938,1556.84559324731,"loss"
"9",2000,"R2",2,"M.C.G.","Collingwood","Adelaide",11,14,19,103,13,14,92,653816.807797503,27,31,"Regular","2000.2.Collingwood.Adelaide","2000.2",2000-03-19,FALSE,1483.49796105646,1437.00555515572,"win"
"10",2000,"R2",2,"Docklands","Western Bulldogs","Brisbane Lions",-29,17,8,110,21,13,139,1362110.68375635,0,0,"Regular","2000.2.Western Bulldogs.Brisbane Lions","2000.2",2000-03-19,FALSE,1561.56957534263,1600.00138868351,"loss"
"11",2000,"R2",2,"Football Park","Port Adelaide","Fremantle",-38,12,15,87,19,11,125,2133506.548813,32,30,"Regular","2000.2.Port Adelaide.Fremantle","2000.2",2000-03-18,FALSE,1447.8034963118,1414.10900681838,"loss"
"12",2000,"R2",2,"Princes Park","Carlton","Hawthorn",42,22,22,154,18,4,112,0,23,27,"Regular","2000.2.Carlton.Hawthorn","2000.2",2000-03-19,FALSE,1565.15397179712,1475.65645084602,"win"
"13",2000,"R2",2,"M.C.G.","Melbourne","North Melbourne",25,23,7,145,17,18,120,0,-3,-23,"Regular","2000.2.Melbourne.North Melbourne","2000.2",2000-03-17,FALSE,1408.4407380954,1581.92345252892,"win"
"14",2000,"R2",2,"M.C.G.","Essendon","Richmond",43,20,10,130,12,15,87,0,7,-7,"Regular","2000.2.Essendon.Richmond","2000.2",2000-03-16,FALSE,1625.45711737348,1458.29244214617,"win"
"15",2000,"R2",2,"Kardinia Park","Geelong","St Kilda",40,21,13,139,15,9,99,64839.6837648896,24,33,"Regular","2000.2.Geelong.St Kilda","2000.2",2000-03-18,FALSE,1501.65455188226,1456.7712877992,"win"
"16",2000,"R2",2,"Subiaco","West Coast","Sydney",-12,10,10,70,12,10,82,3294370.92846447,25,33,"Regular","2000.2.West Coast.Sydney","2000.2",2000-03-19,FALSE,1514.88676059713,1532.49485281823,"loss"
"17",2000,"R3",3,"M.C.G.","Hawthorn","Brisbane Lions",7,16,14,110,15,13,103,1362110.68375635,-3,-4,"Regular","2000.3.Hawthorn.Brisbane Lions","2000.3",2000-03-25,FALSE,1454.46596781508,1620.3945958006,"win"
"18",2000,"R3",3,"M.C.G.","Collingwood","Carlton",73,24,16,160,11,21,87,0,12,3,"Regular","2000.3.Collingwood.Carlton","2000.3",2000-03-26,FALSE,1488.9078944439,1586.34445482806,"win"
"19",2000,"R3",3,"Subiaco","Fremantle","Essendon",-36,12,16,88,19,10,124,2724334.01488462,23,30,"Regular","2000.3.Fremantle.Essendon","2000.3",2000-03-26,FALSE,1447.56743426069,1639.22441861243,"loss"
"20",2000,"R3",3,"Football Park","Adelaide","Geelong",-11,14,16,100,17,9,111,627389.937255449,32,42,"Regular","2000.3.Adelaide.Geelong","2000.3",2000-03-25,FALSE,1431.59562176829,1526.97949623106,"loss"
"21",2000,"R3",3,"S.C.G.","Sydney","Melbourne",12,19,12,126,17,12,114,714175.896369736,34,46,"Regular","2000.3.Sydney.Melbourne","2000.3",2000-03-26,FALSE,1542.12188461422,1449.08812189553,"win"
"22",2000,"R3",3,"M.C.G.","Richmond","North Melbourne",-36,20,14,134,27,8,170,0,-5,-23,"Regular","2000.3.Richmond.North Melbourne","2000.3",2000-03-24,FALSE,1444.52514090721,1541.27606872879,"loss"
"23",2000,"R3",3,"Docklands","Western Bulldogs","Port Adelaide",47,22,9,141,14,10,94,653816.807797503,0,0,"Regular","2000.3.Western Bulldogs.Port Adelaide","2000.3",2000-03-26,FALSE,1541.17636822555,1414.34506886949,"win"
"24",2000,"R3",3,"Docklands","St Kilda","West Coast",0,18,8,116,17,14,116,2724334.01488462,0,0,"Regular","2000.3.St Kilda.West Coast","2000.3",2000-03-25,FALSE,1431.44634345041,1505.25972880115,"draw"
"25",2000,"R4",4,"W.A.C.A.","West Coast","Adelaide",114,29,13,187,10,13,73,2133506.548813,9,12,"Regular","2000.4.West Coast.Adelaide","2000.4",2000-04-01,FALSE,1496.88723785034,1431.57842728445,"win"
"26",2000,"R4",4,"Football Park","Port Adelaide","Brisbane Lions",43,23,11,149,15,16,106,1592231.39847999,32,30,"Regular","2000.4.Port Adelaide.Brisbane Lions","2000.4",2000-04-02,FALSE,1395.29650180721,1595.6930211118,"win"
"27",2000,"R4",4,"Docklands","Western Bulldogs","Carlton",39,14,14,98,8,11,59,0,0,0,"Regular","2000.4.Western Bulldogs.Carlton","2000.4",2000-04-01,FALSE,1560.22493528782,1537.43839687979,"win"
"28",2000,"R4",4,"S.C.G.","Sydney","Collingwood",-5,15,11,101,15,16,106,714175.896369736,33,44,"Regular","2000.4.Sydney.Collingwood","2000.4",2000-04-01,FALSE,1543.31234476527,1537.81395239217,"loss"
"29",2000,"R4",4,"M.C.G.","Hawthorn","Essendon",-47,14,6,90,20,17,137,0,-42,-69,"Regular","2000.4.Hawthorn.Essendon","2000.4",2000-04-01,FALSE,1479.16754250388,1647.80660468802,"loss"
"30",2000,"R4",4,"Docklands","Richmond","Fremantle",-1,13,9,87,12,16,88,2724334.01488462,0,0,"Regular","2000.4.Richmond.Fremantle","2000.4",2000-04-02,FALSE,1426.73282133089,1438.9852481851,"loss"
"31",2000,"R4",4,"Docklands","North Melbourne","Geelong",5,15,14,104,15,9,99,64839.6837648896,0,0,"Regular","2000.4.North Melbourne.Geelong","2000.4",2000-03-31,FALSE,1559.06838830511,1526.9966907149,"win"
"32",2000,"R4",4,"M.C.G.","Melbourne","St Kilda",90,25,15,165,11,9,75,0,33,39,"Regular","2000.4.Melbourne.St Kilda","2000.4",2000-04-02,FALSE,1447.89766174447,1439.81883440121,"win"
"33",2000,"R5",5,"Gabba","Brisbane Lions","Adelaide",30,17,20,122,13,14,92,1592231.39847999,32,44,"Regular","2000.5.Brisbane Lions.Adelaide","2000.5",2000-04-08,FALSE,1543.22645362585,1399.27684187624,"win"
"34",2000,"R5",5,"M.C.G.","Essendon","Carlton",24,18,15,123,15,9,99,0,23,18,"Regular","2000.5.Essendon.Carlton","2000.5",2000-04-08,FALSE,1662.8195950539,1510.0223077662,"win"
"35",2000,"R5",5,"Docklands","Western Bulldogs","Collingwood",-8,16,14,110,17,16,118,0,0,0,"Regular","2000.5.Western Bulldogs.Collingwood","2000.5",2000-04-07,FALSE,1587.6410244014,1543.42104543669,"loss"
"36",2000,"R5",5,"Football Park","Port Adelaide","Hawthorn",-39,10,14,74,16,17,113,653816.807797503,32,31,"Regular","2000.5.Port Adelaide.Hawthorn","2000.5",2000-04-09,FALSE,1447.76306929316,1464.15455213799,"loss"
"37",2000,"R5",5,"W.A.C.A.","Fremantle","Melbourne",-31,10,15,75,14,22,106,2724334.01488462,7,8,"Regular","2000.5.Fremantle.Melbourne","2000.5",2000-04-08,FALSE,1438.57501160782,1486.08876456081,"loss"
"38",2000,"R5",5,"Docklands","St Kilda","Richmond",-26,11,18,84,17,8,110,0,0,0,"Regular","2000.5.St Kilda.Richmond","2000.5",2000-04-09,FALSE,1401.62773158487,1427.14305790817,"loss"
"39",2000,"R5",5,"S.C.G.","North Melbourne","Sydney",8,19,14,128,18,12,120,-714175.896369736,-30,-54,"Regular","2000.5.North Melbourne.Sydney","2000.5",2000-04-09,FALSE,1560.36056984769,1537.70525172076,"win"
"40",2000,"R5",5,"Kardinia Park","Geelong","West Coast",81,24,18,162,11,15,81,2675673.45900473,24,32,"Regular","2000.5.Geelong.West Coast","2000.5",2000-04-09,FALSE,1525.70450917232,1529.18882325855,"win"
"41",2000,"R6",6,"Docklands","St Kilda","Brisbane Lions",-39,9,12,66,15,15,105,1362110.68375635,0,0,"Regular","2000.6.St Kilda.Brisbane Lions","2000.6",2000-04-15,FALSE,1381.69322377411,1552.94701892649,"loss"
"42",2000,"R6",6,"Docklands","Western Bulldogs","Essendon",-63,12,9,81,22,12,144,0,0,0,"Regular","2000.6.Western Bulldogs.Essendon","2000.6",2000-04-14,FALSE,1574.68231120182,1667.76289786922,"loss"
"43",2000,"R6",6,"Subiaco","West Coast","Fremantle",117,28,10,178,9,7,61,0,0,-8,"Regular","2000.6.West Coast.Fremantle","2000.6",2000-04-15,FALSE,1490.15761288786,1418.01828768666,"win"
"44",2000,"R6",6,"Football Park","Adelaide","Hawthorn",86,22,11,143,8,9,57,653816.807797503,34,44,"Regular","2000.6.Adelaide.Hawthorn","2000.6",2000-04-16,FALSE,1389.5562765756,1492.30454317214,"win"
"45",2000,"R6",6,"Kardinia Park","Geelong","Melbourne",25,15,19,109,12,12,84,64839.6837648896,26,34,"Regular","2000.6.Geelong.Melbourne","2000.6",2000-04-16,FALSE,1564.735719543,1506.64548848197,"win"
"46",2000,"R6",6,"M.C.G.","Collingwood","North Melbourne",-32,11,16,82,17,12,114,0,-9,-29,"Regular","2000.6.Collingwood.North Melbourne","2000.6",2000-04-15,FALSE,1556.37975863627,1565.65098329343,"loss"
"47",2000,"R6",6,"Princes Park","Carlton","Port Adelaide",91,26,13,169,12,6,78,653816.807797503,23,30,"Regular","2000.6.Carlton.Port Adelaide","2000.6",2000-04-15,FALSE,1505.07900495088,1419.613078259,"win"
"48",2000,"R6",6,"S.C.G.","Sydney","Richmond",-6,16,10,106,17,10,112,714175.896369736,33,44,"Regular","2000.6.Sydney.Richmond","2000.6",2000-04-16,FALSE,1532.41483827502,1447.07756571893,"loss"
"49",2000,"R7",7,"Football Park","Port Adelaide","Adelaide",-7,13,13,91,14,14,98,0,-2,-24,"Regular","2000.7.Port Adelaide.Adelaide","2000.7",2000-04-23,FALSE,1390.09546223737,1439.98144903587,"loss"
"50",2000,"R7",7,"Subiaco","Fremantle","Brisbane Lions",11,17,9,111,15,10,100,3603568.95674186,23,29,"Regular","2000.7.Fremantle.Brisbane Lions","2000.7",2000-04-25,FALSE,1386.43603501113,1564.72189186658,"win"
"51",2000,"R7",7,"M.C.G.","Richmond","Carlton",-51,10,9,69,18,12,120,0,16,9,"Regular","2000.7.Richmond.Carlton","2000.7",2000-04-24,FALSE,1462.66486277506,1534.59662097252,"loss"
"52",2000,"R7",7,"M.C.G.","Collingwood","Essendon",-40,15,10,100,21,14,140,0,-11,-30,"Regular","2000.7.Collingwood.Essendon","2000.7",2000-04-25,FALSE,1530.88542372852,1694.00852941648,"loss"
"53",2000,"R7",7,"S.C.G.","Sydney","Geelong",-9,15,9,99,17,6,108,779015.474739716,33,44,"Regular","2000.7.Sydney.Geelong","2000.7",2000-04-22,FALSE,1516.8275412189,1580.29345404484,"loss"
"54",2000,"R7",7,"Docklands","St Kilda","North Melbourne",-12,18,9,117,19,15,129,0,0,0,"Regular","2000.7.St Kilda.North Melbourne","2000.7",2000-04-22,FALSE,1369.91835083401,1591.14531820118,"loss"
"55",2000,"R7",7,"Docklands","Melbourne","West Coast",61,20,18,138,12,5,77,2724334.01488462,0,0,"Regular","2000.7.Melbourne.West Coast","2000.7",2000-04-23,FALSE,1491.08775398014,1521.7398655634,"win"
"56",2000,"R7",7,"M.C.G.","Hawthorn","Western Bulldogs",31,19,9,123,14,8,92,0,-11,-20,"Regular","2000.7.Hawthorn.Western Bulldogs","2000.7",2000-04-22,FALSE,1441.87937071188,1548.43667965456,"win"
"57",2000,"R8",8,"Docklands","St Kilda","Adelaide",-40,10,8,68,14,24,108,653816.807797503,0,0,"Regular","2000.8.St Kilda.Adelaide","2000.8",2000-04-29,FALSE,1380.77294260597,1441.2066646722,"loss"
"58",2000,"R8",8,"Gabba","Brisbane Lions","Essendon",-64,9,9,63,19,13,127,1362110.68375635,33,43,"Regular","2000.8.Brisbane Lions.Essendon","2000.8",2000-05-01,FALSE,1535.09527282072,1706.96029095633,"loss"
"59",2000,"R8",8,"Docklands","Collingwood","Fremantle",-22,12,13,85,15,17,107,2724334.01488462,0,0,"Regular","2000.8.Collingwood.Fremantle","2000.8",2000-05-01,FALSE,1517.93366218867,1416.06265405699,"loss"
"60",2000,"R8",8,"M.C.G.","North Melbourne","Hawthorn",-61,9,13,67,18,20,128,0,40,50,"Regular","2000.8.North Melbourne.Hawthorn","2000.8",2000-04-28,FALSE,1580.29072642922,1479.76962467542,"loss"
"61",2000,"R8",8,"Football Park","Port Adelaide","Melbourne",-25,12,14,86,17,9,111,653816.807797503,32,30,"Regular","2000.8.Port Adelaide.Melbourne","2000.8",2000-04-30,FALSE,1388.87024660104,1530.99018346196,"loss"
"62",2000,"R8",8,"Docklands","Geelong","Richmond",-70,11,11,77,23,9,147,-64839.6837648896,0,0,"Regular","2000.8.Geelong.Richmond","2000.8",2000-04-30,FALSE,1581.91801056884,1436.62410010379,"loss"
"63",2000,"R8",8,"Princes Park","Carlton","Sydney",45,16,13,109,9,10,64,714175.896369736,23,28,"Regular","2000.8.Carlton.Sydney","2000.8",2000-04-30,FALSE,1560.63738364378,1515.2029846949,"win"
"64",2000,"R8",8,"W.A.C.A.","West Coast","Western Bulldogs",6,15,18,108,15,12,102,2724334.01488462,7,10,"Regular","2000.8.West Coast.Western Bulldogs","2000.8",2000-04-29,FALSE,1481.83743608158,1510.54642569102,"win"
"65",2000,"R9",9,"Subiaco","Fremantle","Carlton",-65,13,4,82,21,21,147,2724334.01488462,23,27,"Regular","2000.9.Fremantle.Carlton","2000.9",2000-05-07,FALSE,1447.48686568959,1587.80821283423,"loss"
"66",2000,"R9",9,"Gabba","Brisbane Lions","Collingwood",29,22,14,146,18,9,117,1362110.68375635,32,43,"Regular","2000.9.Brisbane Lions.Collingwood","2000.9",2000-05-07,FALSE,1516.54504806918,1486.50945055607,"win"
"67",2000,"R9",9,"M.C.G.","Melbourne","Essendon",-13,13,15,93,15,16,106,0,-5,-24,"Regular","2000.9.Melbourne.Essendon","2000.9",2000-05-07,FALSE,1537.66740443564,1725.51051570787,"loss"
"68",2000,"R9",9,"M.C.G.","Hawthorn","Geelong",25,14,14,98,10,13,73,64839.6837648896,-11,-23,"Regular","2000.9.Hawthorn.Geelong","2000.9",2000-05-06,FALSE,1527.41268967457,1528.44682583713,"win"
"69",2000,"R9",9,"Football Park","Adelaide","North Melbourne",-3,19,11,125,19,14,128,653816.807797503,34,43,"Regular","2000.9.Adelaide.North Melbourne","2000.9",2000-05-06,FALSE,1464.78207296678,1532.64766143007,"loss"
"70",2000,"R9",9,"S.C.G.","Sydney","Port Adelaide",26,16,15,111,11,19,85,1163454.78798523,34,47,"Regular","2000.9.Sydney.Port Adelaide","2000.9",2000-05-07,FALSE,1488.03215550444,1382.19302562736,"win"
"71",2000,"R9",9,"Docklands","Western Bulldogs","St Kilda",1,16,9,105,16,8,104,0,0,0,"Regular","2000.9.Western Bulldogs.St Kilda","2000.9",2000-05-05,FALSE,1501.29328190938,1357.19753431139,"win"
"72",2000,"R9",9,"Docklands","Richmond","West Coast",9,11,13,79,9,16,70,2724334.01488462,0,0,"Regular","2000.9.Richmond.West Coast","2000.9",2000-05-06,FALSE,1490.0952848355,1491.09057986322,"win"
"73",2000,"R10",10,"Docklands","Essendon","Adelaide",48,20,12,132,12,12,84,653816.807797503,0,0,"Regular","2000.10.Essendon.Adelaide","2000.10",2000-05-14,FALSE,1718.33197974653,1469.5031213519,"win"
"74",2000,"R10",10,"Docklands","Melbourne","Brisbane Lions",18,15,12,102,11,18,84,1362110.68375635,0,0,"Regular","2000.10.Melbourne.Brisbane Lions","2000.10",2000-05-15,FALSE,1544.84594039698,1537.89553555189,"win"
"75",2000,"R10",10,"Docklands","St Kilda","Carlton",-27,11,16,82,15,19,109,0,0,0,"Regular","2000.10.St Kilda.Carlton","2000.10",2000-05-13,FALSE,1371.89737044974,1609.49159640353,"loss"
"76",2000,"R10",10,"M.C.G.","Richmond","Collingwood",48,15,12,102,7,12,54,0,4,-7,"Regular","2000.10.Richmond.Collingwood","2000.10",2000-05-13,FALSE,1499.06101081268,1465.15896307336,"win"
"77",2000,"R10",10,"M.C.G.","North Melbourne","Fremantle",88,22,16,148,8,12,60,2724334.01488462,40,53,"Regular","2000.10.North Melbourne.Fremantle","2000.10",2000-05-14,FALSE,1527.92661304495,1425.8034821203,"win"
"78",2000,"R10",10,"Football Park","Port Adelaide","Geelong",0,10,18,78,12,6,78,627389.937255449,30,29,"Regular","2000.10.Port Adelaide.Geelong","2000.10",2000-05-13,FALSE,1371.14796722274,1506.14377796916,"draw"
"79",2000,"R10",10,"Subiaco","West Coast","Hawthorn",30,17,16,118,13,10,88,2724334.01488462,24,33,"Regular","2000.10.West Coast.Hawthorn","2000.10",2000-05-12,FALSE,1482.12485388604,1549.71573754255,"win"
"80",2000,"R10",10,"S.C.G.","Western Bulldogs","Sydney",58,21,11,137,12,7,79,-714175.896369736,-33,-56,"Regular","2000.10.Western Bulldogs.Sydney","2000.10",2000-05-14,FALSE,1486.59344577103,1499.07721390907,"win"
"81",2000,"R11",11,"S.C.G.","Sydney","Brisbane Lions",-3,15,17,107,16,14,110,718637.78376952,34,45,"Regular","2000.11.Sydney.Brisbane Lions","2000.11",2000-05-21,FALSE,1461.81287023397,1521.81966354365,"loss"
"82",2000,"R11",11,"Docklands","Geelong","Essendon",-58,13,9,87,22,13,145,-64839.6837648896,0,0,"Regular","2000.11.Geelong.Essendon","2000.11",2000-05-20,FALSE,1491.33942548699,1727.09648796441,"loss"
"83",2000,"R11",11,"Football Park","Adelaide","Melbourne",35,15,15,105,8,22,70,653816.807797503,34,43,"Regular","2000.11.Adelaide.Melbourne","2000.11",2000-05-21,FALSE,1460.73861313402,1560.92181240522,"win"
"84",2000,"R11",11,"Princes Park","Carlton","North Melbourne",30,20,9,129,15,9,99,0,22,24,"Regular","2000.11.Carlton.North Melbourne","2000.11",2000-05-20,FALSE,1609.2612728148,1555.52627297476,"win"
"85",2000,"R11",11,"Docklands","St Kilda","Port Adelaide",62,17,15,117,8,7,55,653816.807797503,0,0,"Regular","2000.11.St Kilda.Port Adelaide","2000.11",2000-05-19,FALSE,1372.12769403847,1385.9523197049,"win"
"86",2000,"R11",11,"M.C.G.","Hawthorn","Richmond",-3,11,11,77,11,14,80,0,-35,-61,"Regular","2000.11.Hawthorn.Richmond","2000.11",2000-05-20,FALSE,1516.62479796708,1528.51641839139,"loss"
"87",2000,"R11",11,"Docklands","Collingwood","West Coast",-36,13,14,92,18,20,128,2724334.01488462,0,0,"Regular","2000.11.Collingwood.West Coast","2000.11",2000-05-21,FALSE,1435.70355549465,1515.21579346151,"loss"
"88",2000,"R11",11,"Subiaco","Fremantle","Western Bulldogs",-93,12,9,81,27,12,174,2724334.01488462,25,32,"Regular","2000.11.Fremantle.Western Bulldogs","2000.11",2000-05-20,FALSE,1398.20382219049,1523.85778944613,"loss"
"89",2000,"R12",12,"Subiaco","West Coast","Carlton",-50,11,12,78,20,8,128,2724334.01488462,23,28,"Regular","2000.12.West Coast.Carlton","2000.12",2000-05-28,FALSE,1534.87006007486,1628.52962031557,"loss"
"90",2000,"R12",12,"Docklands","Hawthorn","Fremantle",59,19,7,121,8,14,62,2724334.01488462,0,0,"Regular","2000.12.Hawthorn.Fremantle","2000.12",2000-05-27,FALSE,1514.99894937369,1372.82856229641,"win"
"91",2000,"R12",12,"M.C.G.","Collingwood","Geelong",-4,9,13,67,10,11,71,64839.6837648896,20,16,"Regular","2000.12.Collingwood.Geelong","2000.12",2000-05-27,FALSE,1416.04928888129,1479.13509625271,"loss"
"92",2000,"R12",12,"Docklands","Western Bulldogs","Melbourne",25,16,12,108,13,5,83,0,0,0,"Regular","2000.12.Western Bulldogs.Melbourne","2000.12",2000-05-28,FALSE,1549.23304934021,1521.54095465723,"win"
"93",2000,"R12",12,"S.C.G.","North Melbourne","Port Adelaide",17,10,16,76,8,11,59,449278.89161549,4,4,"Regular","2000.12.North Melbourne.Port Adelaide","2000.12",2000-05-28,FALSE,1536.25792547399,1347.81012071338,"win"
"94",2000,"R12",12,"Gabba","Brisbane Lions","Richmond",-12,14,15,99,17,9,111,1362110.68375635,33,44,"Regular","2000.12.Brisbane Lions.Richmond","2000.12",2000-05-27,FALSE,1517.97339764019,1530.14226698478,"loss"
"95",2000,"R12",12,"Docklands","Essendon","St Kilda",86,25,19,169,13,5,83,0,0,0,"Regular","2000.12.Essendon.St Kilda","2000.12",2000-05-26,FALSE,1739.30081719869,1410.26989302999,"win"
"96",2000,"R12",12,"Football Park","Adelaide","Sydney",50,14,14,98,7,6,48,1163454.78798523,33,42,"Regular","2000.12.Adelaide.Sydney","2000.12",2000-05-27,FALSE,1500.11947088202,1465.65913613742,"win"
"97",2000,"R13",13,"Docklands","Richmond","Adelaide",-9,17,10,112,17,19,121,653816.807797503,0,0,"Regular","2000.13.Richmond.Adelaide","2000.13",2000-06-02,FALSE,1540.39435122808,1530.09638274532,"loss"
"98",2000,"R13",13,"M.C.G.","Melbourne","Carlton",-98,9,7,61,25,9,159,0,18,9,"Regular","2000.13.Melbourne.Carlton","2000.13",2000-06-03,FALSE,1502.53840185979,1651.93183434531,"loss"
"99",2000,"R13",13,"Football Park","Port Adelaide","Collingwood",14,12,17,89,11,9,75,653816.807797503,32,31,"Regular","2000.13.Port Adelaide.Collingwood","2000.13",2000-06-03,FALSE,1351.5567411292,1419.2468100321,"win"
"100",2000,"R13",13,"S.C.G.","Sydney","Hawthorn",31,16,13,109,11,12,78,714175.896369736,33,44,"Regular","2000.13.Sydney.Hawthorn","2000.13",2000-06-04,FALSE,1435.68222427412,1535.50832542447,"win"
"101",2000,"R13",13,"M.C.G.","Essendon","North Melbourne",49,17,17,119,11,4,70,0,2,-14,"Regular","2000.13.Essendon.North Melbourne","2000.13",2000-06-04,FALSE,1748.69249551881,1532.51130505816,"win"
"102",2000,"R13",13,"Subiaco","Fremantle","St Kilda",44,14,16,100,8,8,56,2724334.01488462,23,30,"Regular","2000.13.Fremantle.St Kilda","2000.13",2000-06-04,FALSE,1352.31918624563,1400.87821470987,"win"
"103",2000,"R13",13,"Gabba","Brisbane Lions","West Coast",84,27,11,173,13,11,89,3603568.95674186,32,44,"Regular","2000.13.Brisbane Lions.West Coast","2000.13",2000-06-03,FALSE,1507.72131339689,1511.46784604512,"win"
"104",2000,"R13",13,"Docklands","Geelong","Western Bulldogs",7,19,12,126,18,11,119,-64839.6837648896,0,0,"Regular","2000.13.Geelong.Western Bulldogs","2000.13",2000-06-04,FALSE,1475.9375751019,1568.23560213765,"win"
"105",2000,"R14",14,"Docklands","North Melbourne","Brisbane Lions",4,17,14,116,17,10,112,1362110.68375635,0,0,"Regular","2000.14.North Melbourne.Brisbane Lions","2000.14",2000-06-09,FALSE,1520.97324782175,1546.97070965475,"win"
"106",2000,"R14",14,"M.C.G.","Melbourne","Collingwood",65,22,11,143,12,6,78,0,6,-7,"Regular","2000.14.Melbourne.Collingwood","2000.14",2000-06-10,FALSE,1479.34220522878,1398.09580975947,"win"
"107",2000,"R14",14,"S.C.G.","Sydney","Essendon",-13,11,10,76,12,17,89,714175.896369736,34,44,"Regular","2000.14.Sydney.Essendon","2000.14",2000-06-11,FALSE,1472.86207046669,1760.23055275523,"loss"
"108",2000,"R14",14,"Football Park","Adelaide","Fremantle",73,22,13,145,11,6,72,2133506.548813,34,43,"Regular","2000.14.Adelaide.Fremantle","2000.14",2000-06-11,FALSE,1540.1327718264,1389.89359202235,"win"
"109",2000,"R14",14,"Princes Park","Carlton","Geelong",10,15,17,107,15,7,97,64839.6837648896,22,27,"Regular","2000.14.Carlton.Geelong","2000.14",2000-06-11,FALSE,1675.12803097632,1493.25007201217,"win"
"110",2000,"R14",14,"M.C.G.","St Kilda","Hawthorn",-85,13,8,86,27,9,171,0,4,0,"Regular","2000.14.St Kilda.Hawthorn","2000.14",2000-06-11,FALSE,1363.30380893315,1498.32847923189,"loss"
"111",2000,"R14",14,"Subiaco","West Coast","Port Adelaide",-36,10,11,71,16,11,107,2133506.548813,24,34,"Regular","2000.14.West Coast.Port Adelaide","2000.14",2000-06-10,FALSE,1472.21844978727,1372.70774140183,"loss"
"112",2000,"R14",14,"M.C.G.","Richmond","Western Bulldogs",35,12,15,87,7,10,52,0,24,25,"Regular","2000.14.Richmond.Western Bulldogs","2000.14",2000-06-12,FALSE,1530.357962147,1550.92310522738,"win"
"113",2000,"R15",15,"Princes Park","Carlton","Adelaide",24,19,6,120,14,12,96,653816.807797503,21,25,"Regular","2000.15.Carlton.Adelaide","2000.15",2000-06-17,FALSE,1665.7093101293,1561.8123813901,"win"
"114",2000,"R15",15,"Kardinia Park","Geelong","Brisbane Lions",-69,7,17,59,20,8,128,1423810.42257328,26,34,"Regular","2000.15.Geelong.Brisbane Lions","2000.15",2000-06-17,FALSE,1502.66879285919,1539.9964950835,"loss"
"115",2000,"R15",15,"M.C.G.","Hawthorn","Melbourne",-69,10,12,72,22,9,141,0,-37,-56,"Regular","2000.15.Hawthorn.Melbourne","2000.15",2000-06-17,FALSE,1522.39616922428,1507.16907004937,"loss"
"116",2000,"R15",15,"Docklands","Western Bulldogs","North Melbourne",4,16,10,106,15,12,102,0,0,0,"Regular","2000.15.Western Bulldogs.North Melbourne","2000.15",2000-06-18,FALSE,1520.40199270698,1527.947462393,"win"
"117",2000,"R15",15,"Football Park","Port Adelaide","Richmond",28,15,13,103,11,9,75,653816.807797503,31,30,"Regular","2000.15.Port Adelaide.Richmond","2000.15",2000-06-18,FALSE,1412.51292447547,1560.8790746674,"win"
"118",2000,"R15",15,"M.C.G.","Collingwood","St Kilda",33,17,13,115,13,4,82,0,27,33,"Regular","2000.15.Collingwood.St Kilda","2000.15",2000-06-16,FALSE,1370.26894493888,1339.23611894076,"win"
"119",2000,"R15",15,"Subiaco","Fremantle","Sydney",27,20,3,123,14,12,96,3294370.92846447,25,32,"Regular","2000.15.Fremantle.Sydney","2000.15",2000-06-18,FALSE,1368.21398245865,1487.458144107,"win"
